03fb248f-6985-4ebb-9f10-0ee0d7d01350	cd13f6fb-3468-4fcf-846b-15683de87d68	2023-03-08 19:30:47.913445+00	2023-03-08 19:30:47.913445+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(40.5826,-74.2785)	40.5826	-74.2785	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
049e2f2f-2b4c-4d46-8f50-1081d58c934c	7c4a22ba-de12-4b94-8bb6-63cd69163a3d	2023-03-07 14:23:08.695429+00	2023-03-07 14:23:08.695429+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(45.5303,-122.7033)	45.5303	-122.7033	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
09a0ce2d-531a-4e44-934b-a863b24d60d3	d241cbb1-17a8-477b-a874-c9792feee211	2023-02-27 08:26:16.449803+00	2023-02-27 08:26:16.449803+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(32.7423,-117.0947)	32.7423	-117.0947	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
0c324191-a222-46fc-be93-d649f855037c	202114dd-306e-45bb-aaef-65a0a904bb71	2023-03-08 19:24:54.396738+00	2023-03-08 19:24:54.396738+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(39.1661,-94.464)	39.1661	-94.464	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
13e978f8-1624-4e04-8bdf-61dd52453e8c	76bfef05-88f3-44b4-b059-a73c1ba61f16	2023-03-09 21:21:26.013738+00	2023-03-09 21:21:26.013738+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(33.811,-117.8493)	33.811	-117.8493	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
16c70756-920c-459b-8892-76f1327d51ae	e31c82a0-01ef-4217-8a92-2e70057b902d	2023-03-07 18:41:44.691122+00	2023-03-07 18:41:44.691122+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(39.8643,-75.4332)	39.8643	-75.4332	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
1b46d6f9-9ec4-44e6-bf65-2560386e5f87	46a57374-a296-4e3f-907d-897cea3c9e5b	2023-03-06 22:56:14.575415+00	2023-03-06 22:56:14.575415+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(39.8604,-74.6693)	39.8604	-74.6693	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
4b4a80e2-3df0-4985-94ee-b93b6fe6586d	4c99af47-1d01-4a14-9b39-ecf1a3cb369c	2023-03-07 14:23:09.284653+00	2023-03-07 14:23:09.284653+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(34.0498,-117.4706)	34.0498	-117.4706	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
4b944510-1dc8-448e-af95-10ab1324f805	b8b32e00-32b3-4acc-ac84-d21a1febd6d9	2023-03-08 19:24:53.789468+00	2023-03-08 19:24:53.789468+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(47.3776,-122.2854)	47.3776	-122.2854	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
5150a2e9-ed2e-4cc0-b8a4-ddb90185c92e	a0499033-392a-4460-82b3-ddcef40f84ac	2023-03-09 20:18:10.204864+00	2023-03-09 20:18:10.204864+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(40.7051,-73.243)	40.7051	-73.243	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
61f64b82-aee9-457e-ac33-2b88665956b4	cff14abb-67c0-4646-9f32-dfbe1b03fbee	2023-03-09 21:36:34.277095+00	2023-03-09 21:36:34.277095+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(26.6693,-81.7605)	26.6693	-81.7605	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
7483a14d-8c3c-4db7-86c1-1d3e648caddc	f17cc30b-f0e1-4e54-9e5b-f9a8cf5e15ef	2023-03-02 21:08:11.771087+00	2023-03-02 21:08:11.771087+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(29.2573,-82.161)	29.2573	-82.161	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
7ecaeeb0-71b5-47ec-9ee2-ea2f1da20e2a	5ab9be67-5714-46cc-ad26-6f5b4e95f3bb	2023-03-09 21:36:52.488643+00	2023-03-09 21:36:52.488643+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(32.1082,-81.1746)	32.1082	-81.1746	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
90de6467-9878-4efd-8f69-a343b611092c	fb21a5cc-8a57-4b76-bc41-8dc50a24f148	2023-03-08 16:06:23.073062+00	2023-03-08 16:06:23.073062+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(31.7718,-106.3303)	31.7718	-106.3303	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
94c849ac-450c-41e1-a2db-f70f92730bc7	ea12332e-26df-41ea-b900-4cd4a47f8206	2023-03-09 18:13:31.861634+00	2023-03-09 18:13:31.861634+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(44.4367,-73.0957)	44.4367	-73.0957	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
94f38405-7339-458b-91c0-c73306d70a3e	c9604683-b554-4c7c-b02f-2ecd8cda6e42	2023-03-06 16:40:20.614152+00	2023-03-06 16:40:20.614152+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(43.5514,-96.7375)	43.5514	-96.7375	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
a1f95d9f-7a66-40ca-9791-73d44492c703	1e9dfd95-525a-4606-927c-dea5c8afc3a1	2023-03-07 17:52:16.033915+00	2023-03-07 17:52:16.033915+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(39.2058,-76.7531)	39.2058	-76.7531	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
d6767b69-2882-41fc-b452-c5cabb9b5b02	4e14a300-7f63-4da4-b96d-a06ff7b21fc6	2023-03-09 18:13:31.307129+00	2023-03-09 18:13:31.307129+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(42.8507,-70.8588)	42.8507	-70.8588	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
e43d02f4-ea6d-4bf4-b2d4-e1a0d4ee8f19	5e01c416-4733-4083-9d4f-96d661b3dd04	2023-03-09 22:56:12.75969+00	2023-03-09 22:56:12.75969+00	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	23134774-9f6d-4f2e-83ba-fdbd4f0256a5	(36.6486,-119.9987)	36.6486	-119.9987	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
